id,name,address_line,directions,hours,hours_open_id,is_drop_box,is_early_voting,latitude,longitude,latlng_source,photo_uri
8850010492,FAITH BAPTIST CHURCH,7233 N 75TH AVE GLENDALE AZ 85303,,,,,,,,,
8850010486,ST ANDREWS EPISCOPAL CHURCH,6300 W CAMELBACK RD GLENDALE AZ 85301,,,,,,,,,
8850010477,EMMANUEL PRESBYTERIAN CHR,3839 E SHEA BLVD PHOENIX AZ 85028,,,,,,,,,
8850010440,ST JOHNS LUTHERAN CHURCH,7205 N 51ST AVE GLENDALE AZ 85301,,,,,,,,,
8850010432,SEVILLA ELEMENTARY SCHOOL,3801 W MISSOURI AVE PHOENIX AZ 85019,,,,,,,,,
8850010381,GLENDALE MISSION AND MINISTRY CENTER,6242 N 59TH AVE GLENDALE AZ 85301,,,,,,,,,
8850010378,GLENDALE COMMUNITY COLLEGE/STUDENT UNION,6000 W OLIVE AVE GLENDALE AZ 85302,,,,,,,,,
8850010287,SHEPHERD OF THE HILLS UNITED CHURCH OF CHRIST,5524 E LAFAYETTE BLVD PHOENIX AZ 85018,,,,,,,,,
8850010185,BALSZ ELEMENTARY SCHOOL DISTRICT OFFICE,4825 E ROOSEVELT ST PHOENIX AZ 85008,,,,,,,,,
8850010184,STARLIGHT PARK BAPTIST CHURCH,7901 W OSBORN RD PHOENIX AZ 85033,,,,,,,,,
8850010112,MOUNTAIN VIEW LUTHERAN CHR,11002 S 48TH ST PHOENIX AZ 85044,,,,,,,,,
8850010092,JOHN JACOBS SCHOOL,14421 N 23RD AVE PHOENIX AZ 85023,,,,,,,,,
8850010055,PENDERGAST SCHOOL/DISTRICT OFFICE,3802 N 91ST AVE PHOENIX AZ 85037,,,,,,,,,
